from_place,Destination,Travel_Mode,Accommodation_Type,Food_Preference,Activity,Purpose,Travel_Duration_Days,Season,Month,Group_Size,Distance_in_km,Specific_Interests,Discounts_Offers,Destination_Popularity,Cost_Transportation,Cost_Accommodation,Cost_Food,Cost_Activities,Age_Group,Income_Level,Budget
Mumbai,Mumbai,Car,Homestay,Local Cuisine,Shopping,Pilgrimage,4,Summer,February,5,2089,Wildlife,None,High,14649,13716,2011,1869,Senior,Low,12825
Delhi,Delhi,Car,Homestay,Budget Meals,Trekking,Adventure,12,Summer,April,6,1352,Beaches,Travel Discounts,Low,1924,13822,3613,3008,Adult,High,7690
Bangalore,Kerala,Train,Hostel,Non-Vegetarian,Shopping,Adventure,3,Summer,October,5,1228,Wildlife,Travel Discounts,Low,1286,6567,3135,6568,Youth,Low,33870
Bangalore,Kerala,Train,Hotel,Budget Meals,Sightseeing,Leisure,9,Summer,November,1,2358,Shopping,Travel Discounts,High,12188,17074,2548,6154,Senior,Middle,42155
Kolkata,Varanasi,Train,Resort,Local Cuisine,Trekking,Work,7,Summer,July,3,706,Religious Sites,Travel Discounts,Low,14953,8437,3795,2548,Senior,Middle,46752
Delhi,Delhi,Car,Resort,Budget Meals,Cultural Events,Adventure,10,Monsoon,June,3,2775,Shopping,Airline Miles,High,12948,12908,4295,9481,Adult,Middle,30456
Mumbai,Mumbai,Train,Resort,Non-Vegetarian,Cultural Events,Leisure,11,Monsoon,October,4,258,Adventure Sports,Travel Discounts,Medium,1390,7765,3661,9796,Senior,Low,47745
Mumbai,Mumbai,Train,Resort,Non-Vegetarian,Trekking,Adventure,8,Summer,August,3,2550,Historical Sites,Hotel Membership,Medium,6844,7652,1733,3989,Adult,Low,35708
Delhi,Shimla,Bus,Resort,Budget Meals,Shopping,Work,7,Summer,March,2,1750,Beaches,Airline Miles,Low,3402,15578,1295,1145,Youth,Middle,24873
Kolkata,Varanasi,Car,Resort,Non-Vegetarian,Sightseeing,Pilgrimage,10,Summer,August,1,2064,Historical Sites,Hotel Membership,Medium,3449,4636,2114,5754,Adult,High,43331
Bangalore,Kerala,Bus,Resort,Vegetarian,Relaxation,Adventure,5,Summer,September,3,2181,Adventure Sports,Hotel Membership,Medium,8093,12059,831,4970,Senior,High,28934
Kolkata,Varanasi,Flight,Homestay,Vegetarian,Trekking,Leisure,14,Monsoon,July,2,1975,Historical Sites,Hotel Membership,Low,14985,14910,3835,6105,Youth,Middle,42594
Mumbai,Mumbai,Train,Resort,Local Cuisine,Shopping,Leisure,10,Monsoon,September,1,144,Beaches,Airline Miles,High,13761,3863,1117,658,Senior,Low,49027
Delhi,Shimla,Flight,Hostel,Budget Meals,Shopping,Leisure,12,Summer,April,6,382,Shopping,Airline Miles,Low,2301,13677,3124,9172,Youth,Middle,12993
Delhi,Delhi,Car,Hostel,Budget Meals,Shopping,Leisure,10,Winter,February,2,859,Wildlife,None,High,14903,11531,2365,3161,Adult,High,17119
Bangalore,Bangalore,Bus,Resort,Local Cuisine,Trekking,Adventure,7,Summer,September,1,2732,Beaches,Hotel Membership,High,11155,15093,1154,7806,Youth,High,27594
Bangalore,Kerala,Bus,Homestay,Vegetarian,Relaxation,Pilgrimage,14,Monsoon,December,4,1567,Religious Sites,None,Medium,7713,16235,4281,5814,Adult,Middle,25910
Kolkata,Varanasi,Car,Hostel,Non-Vegetarian,Cultural Events,Adventure,3,Autumn,November,2,1686,Religious Sites,Airline Miles,High,7410,16475,1727,4938,Adult,Low,14137
Mumbai,Goa,Car,Resort,Non-Vegetarian,Shopping,Pilgrimage,6,Autumn,July,4,704,Adventure Sports,Hotel Membership,High,9499,17194,2272,7321,Adult,Low,17448
Mumbai,Mumbai,Train,Homestay,Local Cuisine,Relaxation,Adventure,12,Summer,September,3,1447,Adventure Sports,Travel Discounts,Medium,5032,7863,3172,4324,Adult,High,12985
Kolkata,Varanasi,Bus,Homestay,Local Cuisine,Trekking,Work,8,Summer,December,5,2546,Religious Sites,None,High,11217,11539,1166,9170,Adult,Middle,46463
Bangalore,Bangalore,Bus,Hotel,Budget Meals,Cultural Events,Work,15,Summer,June,1,1990,Shopping,Airline Miles,Medium,8941,11294,4893,3777,Senior,Low,23101
Bangalore,Bangalore,Flight,Homestay,Vegetarian,Trekking,Pilgrimage,6,Winter,May,3,886,Historical Sites,Travel Discounts,Medium,11254,13518,1785,7776,Adult,Low,29642
Mumbai,Mumbai,Car,Homestay,Non-Vegetarian,Relaxation,Adventure,7,Summer,June,1,557,Wildlife,Travel Discounts,High,11303,15229,3153,6980,Youth,Middle,15675
Bangalore,Bangalore,Flight,Homestay,Local Cuisine,Relaxation,Leisure,11,Summer,August,1,328,Historical Sites,None,Medium,6540,3659,3880,6129,Youth,Middle,8660
Kolkata,Kolkata,Flight,Resort,Budget Meals,Trekking,Leisure,6,Winter,May,2,1030,Historical Sites,None,High,3500,5511,4600,5734,Adult,Middle,34392
Kolkata,Kolkata,Flight,Homestay,Budget Meals,Sightseeing,Adventure,11,Summer,October,1,905,Historical Sites,Airline Miles,High,3494,18571,560,5110,Adult,High,9453
Delhi,Shimla,Car,Hostel,Non-Vegetarian,Relaxation,Pilgrimage,8,Monsoon,July,1,2714,Historical Sites,None,Medium,14183,4497,2184,3779,Senior,High,17830
Mumbai,Mumbai,Train,Homestay,Local Cuisine,Cultural Events,Leisure,13,Monsoon,April,5,147,Beaches,Travel Discounts,Medium,8501,13804,1853,8555,Adult,High,46033
Bangalore,Bangalore,Bus,Hostel,Vegetarian,Relaxation,Leisure,3,Winter,January,3,50,Religious Sites,Hotel Membership,Low,4125,14866,3554,1746,Adult,Middle,7044
Mumbai,Goa,Bus,Hotel,Vegetarian,Shopping,Work,7,Winter,November,6,2842,Beaches,Travel Discounts,Low,10133,9950,2712,869,Senior,High,34945
Kolkata,Varanasi,Flight,Hostel,Non-Vegetarian,Sightseeing,Adventure,13,Winter,August,4,1957,Historical Sites,Hotel Membership,Medium,12777,16701,2160,4879,Youth,High,29734
Mumbai,Mumbai,Train,Hostel,Budget Meals,Sightseeing,Leisure,12,Autumn,April,6,243,Historical Sites,Airline Miles,Low,7082,19055,4929,2887,Adult,High,33530
Delhi,Shimla,Car,Hostel,Budget Meals,Shopping,Adventure,8,Autumn,November,5,1720,Historical Sites,Hotel Membership,Medium,8385,18668,1845,1200,Adult,High,24165
Delhi,Rajasthan,Bus,Hostel,Non-Vegetarian,Trekking,Adventure,4,Winter,September,1,2407,Wildlife,Hotel Membership,High,6332,13233,4992,6971,Senior,High,32458
Kolkata,Kolkata,Train,Homestay,Budget Meals,Sightseeing,Work,13,Summer,December,2,2983,Religious Sites,Airline Miles,Medium,14520,7856,4939,2082,Youth,Low,47198
Mumbai,Goa,Flight,Homestay,Vegetarian,Trekking,Work,15,Winter,May,4,537,Shopping,Hotel Membership,Medium,4415,10954,4010,8338,Senior,High,49596
Bangalore,Bangalore,Flight,Resort,Vegetarian,Cultural Events,Pilgrimage,8,Autumn,July,5,451,Shopping,Travel Discounts,Medium,5131,18817,1254,1859,Youth,High,7034
Bangalore,Kerala,Car,Resort,Local Cuisine,Trekking,Adventure,3,Autumn,April,5,1731,Shopping,None,High,8588,10002,3679,9276,Senior,High,26159
Mumbai,Goa,Bus,Hotel,Budget Meals,Trekking,Adventure,7,Monsoon,October,3,1797,Historical Sites,None,Low,14218,6787,3586,1218,Adult,Low,15665
Delhi,Delhi,Bus,Resort,Non-Vegetarian,Cultural Events,Leisure,4,Summer,December,5,2355,Religious Sites,None,Medium,1549,10139,4074,9630,Senior,Middle,15776
Bangalore,Kerala,Flight,Hotel,Local Cuisine,Shopping,Adventure,9,Summer,February,1,713,Shopping,Hotel Membership,High,13943,7078,3885,2398,Senior,Low,38234
Delhi,Delhi,Train,Hostel,Local Cuisine,Trekking,Adventure,3,Winter,February,5,2777,Adventure Sports,Airline Miles,Low,8778,16672,4421,4008,Youth,Low,29370
Kolkata,Kolkata,Flight,Hostel,Non-Vegetarian,Relaxation,Work,15,Winter,October,2,1061,Beaches,None,Medium,1453,7311,3561,6902,Adult,High,9456
Delhi,Delhi,Train,Resort,Budget Meals,Trekking,Work,12,Autumn,February,4,2506,Historical Sites,None,Medium,7443,10202,4305,6094,Adult,High,39161
Bangalore,Bangalore,Bus,Homestay,Budget Meals,Relaxation,Adventure,9,Summer,August,3,422,Wildlife,Hotel Membership,Low,9413,8465,3064,5811,Youth,High,43637
Delhi,Delhi,Bus,Homestay,Non-Vegetarian,Shopping,Adventure,7,Autumn,November,6,821,Beaches,Airline Miles,Low,9521,6682,1460,5275,Senior,Low,22295
Delhi,Delhi,Bus,Hostel,Budget Meals,Shopping,Work,9,Monsoon,October,4,2251,Adventure Sports,Travel Discounts,Medium,1053,3180,2047,4674,Adult,Middle,36741
Delhi,Jaipur,Bus,Resort,Non-Vegetarian,Shopping,Leisure,9,Winter,August,4,1634,Beaches,None,Medium,2760,18972,4884,4897,Youth,Low,46163
Kolkata,Kolkata,Train,Hotel,Vegetarian,Sightseeing,Leisure,8,Monsoon,May,4,1035,Wildlife,Airline Miles,High,10071,11378,2301,3315,Adult,Low,45918
Delhi,Jaipur,Flight,Hostel,Vegetarian,Relaxation,Pilgrimage,15,Winter,April,4,955,Wildlife,None,High,11996,11108,4065,9996,Senior,Middle,36867
Kolkata,Varanasi,Train,Hostel,Vegetarian,Sightseeing,Adventure,14,Summer,December,4,2569,Wildlife,Travel Discounts,Medium,6276,1678,4588,8815,Senior,Middle,34106
Kolkata,Varanasi,Train,Homestay,Non-Vegetarian,Sightseeing,Adventure,5,Summer,June,3,1709,Shopping,None,Low,4998,3119,4204,858,Adult,High,31476
Delhi,Shimla,Bus,Resort,Vegetarian,Cultural Events,Adventure,14,Winter,July,3,1476,Adventure Sports,Airline Miles,Low,9473,18397,2103,1094,Adult,Middle,34184
Mumbai,Goa,Train,Hotel,Non-Vegetarian,Sightseeing,Leisure,7,Monsoon,August,2,1250,Adventure Sports,Airline Miles,High,4798,4023,927,9881,Senior,High,10194
Delhi,Rajasthan,Bus,Resort,Budget Meals,Trekking,Work,3,Winter,February,1,1152,Religious Sites,Airline Miles,High,5024,1286,3166,3314,Adult,High,17804
Mumbai,Goa,Flight,Resort,Non-Vegetarian,Trekking,Leisure,10,Summer,October,3,2400,Beaches,Airline Miles,Low,10928,2385,1049,6683,Youth,Low,15217
Mumbai,Mumbai,Car,Resort,Budget Meals,Relaxation,Adventure,11,Monsoon,October,5,2992,Wildlife,Airline Miles,High,2202,13042,2944,2392,Senior,Middle,35580
Kolkata,Kolkata,Car,Homestay,Local Cuisine,Sightseeing,Pilgrimage,10,Summer,July,6,652,Shopping,None,Medium,5143,16950,3770,8140,Senior,Middle,18022
Delhi,Shimla,Train,Resort,Non-Vegetarian,Cultural Events,Leisure,6,Winter,May,3,267,Religious Sites,Hotel Membership,Low,8816,2327,4427,1610,Adult,Middle,14537
Delhi,Delhi,Bus,Hostel,Vegetarian,Sightseeing,Work,14,Winter,January,5,945,Religious Sites,Hotel Membership,Medium,5668,13057,917,8970,Senior,Low,41804
Kolkata,Varanasi,Car,Resort,Vegetarian,Relaxation,Leisure,5,Autumn,December,6,2651,Beaches,Hotel Membership,High,1686,2442,2981,698,Youth,Low,29767
Kolkata,Kolkata,Train,Resort,Non-Vegetarian,Cultural Events,Pilgrimage,6,Summer,January,3,2026,Religious Sites,Travel Discounts,Low,12926,13193,4341,4728,Senior,High,5037
Delhi,Jaipur,Bus,Homestay,Non-Vegetarian,Relaxation,Pilgrimage,15,Summer,January,4,2029,Wildlife,None,Medium,14134,9442,1372,2924,Senior,Low,43918
Delhi,Delhi,Train,Resort,Non-Vegetarian,Sightseeing,Pilgrimage,9,Monsoon,May,1,1043,Shopping,Travel Discounts,High,7786,16504,750,5968,Adult,Low,31204
Mumbai,Mumbai,Train,Resort,Budget Meals,Cultural Events,Work,9,Monsoon,April,5,725,Wildlife,None,Low,1139,5916,4926,7521,Adult,Low,33187
Delhi,Rajasthan,Flight,Hotel,Budget Meals,Trekking,Leisure,5,Monsoon,November,5,408,Adventure Sports,None,High,14458,7299,1892,6903,Adult,Low,24098
Mumbai,Mumbai,Bus,Hotel,Local Cuisine,Trekking,Leisure,10,Summer,November,6,2158,Wildlife,Hotel Membership,High,12385,16488,4206,6377,Senior,Middle,44725
Mumbai,Mumbai,Car,Resort,Non-Vegetarian,Shopping,Pilgrimage,6,Summer,December,2,200,Wildlife,Airline Miles,Low,2203,10256,3225,5742,Senior,Low,20773
Kolkata,Varanasi,Car,Resort,Vegetarian,Relaxation,Pilgrimage,14,Winter,June,2,1650,Historical Sites,Airline Miles,Medium,11786,14024,3150,7866,Youth,Middle,18747
Kolkata,Kolkata,Bus,Hostel,Vegetarian,Trekking,Pilgrimage,9,Monsoon,March,1,624,Adventure Sports,None,Medium,12655,12238,3555,6024,Youth,Low,11109
Kolkata,Varanasi,Train,Hostel,Non-Vegetarian,Shopping,Pilgrimage,11,Summer,July,6,211,Wildlife,None,Low,11273,3057,4387,7336,Adult,High,30604
Bangalore,Bangalore,Train,Homestay,Non-Vegetarian,Cultural Events,Pilgrimage,7,Summer,November,5,1090,Historical Sites,Travel Discounts,Medium,1036,15090,891,1746,Adult,High,47733
Delhi,Jaipur,Car,Hotel,Local Cuisine,Relaxation,Leisure,10,Monsoon,February,2,1643,Wildlife,None,Low,5023,16724,669,2129,Youth,High,43022
Mumbai,Mumbai,Train,Homestay,Local Cuisine,Cultural Events,Work,9,Summer,June,1,1232,Historical Sites,None,High,2857,15787,3265,2489,Senior,High,18375
Kolkata,Varanasi,Flight,Resort,Local Cuisine,Sightseeing,Pilgrimage,15,Summer,July,2,2283,Wildlife,Hotel Membership,Low,14356,18524,2090,8342,Senior,Middle,11031
Mumbai,Goa,Bus,Resort,Budget Meals,Sightseeing,Adventure,6,Autumn,October,6,2906,Shopping,Hotel Membership,High,1596,15840,2040,560,Senior,Middle,15978
Mumbai,Goa,Bus,Homestay,Budget Meals,Sightseeing,Pilgrimage,10,Winter,October,5,2349,Religious Sites,Hotel Membership,Medium,9799,14947,2903,1137,Youth,Low,10585
Mumbai,Mumbai,Train,Homestay,Budget Meals,Trekking,Pilgrimage,8,Monsoon,February,4,1313,Historical Sites,None,Low,10878,4280,3469,2357,Youth,Middle,32002
Delhi,Shimla,Bus,Hotel,Non-Vegetarian,Relaxation,Work,12,Winter,May,3,2303,Wildlife,None,Medium,2523,11920,2704,1352,Youth,Low,10166
Bangalore,Kerala,Flight,Hotel,Budget Meals,Sightseeing,Adventure,15,Winter,May,2,2470,Adventure Sports,None,High,12939,5150,1887,8850,Youth,Middle,28666
Mumbai,Goa,Bus,Hostel,Budget Meals,Relaxation,Work,3,Autumn,April,5,1248,Religious Sites,Hotel Membership,Low,3042,14769,2588,8653,Youth,Low,33162
Kolkata,Kolkata,Train,Homestay,Non-Vegetarian,Relaxation,Work,13,Summer,March,6,214,Shopping,Airline Miles,Medium,2845,19827,523,3943,Senior,Low,43024
Mumbai,Goa,Car,Hotel,Local Cuisine,Trekking,Adventure,5,Winter,June,3,1733,Religious Sites,Airline Miles,Medium,4080,8955,4513,8510,Adult,Middle,14632
Mumbai,Goa,Bus,Hotel,Budget Meals,Cultural Events,Work,3,Autumn,September,3,884,Adventure Sports,Travel Discounts,Medium,13872,18353,1034,7945,Adult,Middle,8905
Delhi,Delhi,Car,Hostel,Local Cuisine,Cultural Events,Adventure,7,Summer,August,2,120,Religious Sites,Hotel Membership,Medium,12303,4238,2726,8962,Adult,High,15515
Kolkata,Kolkata,Flight,Hotel,Vegetarian,Trekking,Pilgrimage,7,Summer,November,4,2214,Historical Sites,None,High,4069,4554,3009,7460,Adult,High,21010
Mumbai,Mumbai,Train,Resort,Local Cuisine,Sightseeing,Adventure,10,Summer,June,1,1426,Beaches,Travel Discounts,High,12300,3499,1345,9759,Youth,Low,45935
Kolkata,Kolkata,Flight,Hostel,Budget Meals,Cultural Events,Leisure,4,Autumn,December,2,954,Adventure Sports,Travel Discounts,Medium,11535,15740,2212,2031,Adult,Low,49627
Bangalore,Bangalore,Flight,Hotel,Local Cuisine,Relaxation,Work,3,Monsoon,September,2,2742,Beaches,Airline Miles,Medium,1001,14995,3358,6347,Adult,High,36195
Delhi,Rajasthan,Flight,Hotel,Vegetarian,Shopping,Work,5,Winter,December,2,852,Beaches,Airline Miles,High,1515,4862,2172,6507,Senior,Middle,15286
Kolkata,Kolkata,Train,Hotel,Non-Vegetarian,Cultural Events,Adventure,3,Winter,September,2,2853,Historical Sites,Travel Discounts,Medium,4756,6445,2680,9023,Senior,High,16231
Delhi,Jaipur,Bus,Resort,Non-Vegetarian,Relaxation,Work,10,Autumn,May,3,1115,Beaches,None,High,14051,5154,940,4264,Senior,High,32845
Delhi,Jaipur,Flight,Resort,Budget Meals,Relaxation,Work,3,Summer,March,2,257,Wildlife,Hotel Membership,Medium,9993,5462,1960,1221,Adult,Middle,38944
Delhi,Delhi,Train,Hostel,Vegetarian,Relaxation,Work,12,Autumn,December,6,2289,Religious Sites,None,High,13702,1793,748,1870,Adult,Low,33989
Bangalore,Bangalore,Flight,Hotel,Non-Vegetarian,Cultural Events,Leisure,10,Monsoon,January,6,2527,Adventure Sports,Hotel Membership,Medium,3609,3786,4970,2923,Senior,High,40325
Bangalore,Bangalore,Car,Homestay,Budget Meals,Relaxation,Leisure,5,Winter,June,4,1970,Religious Sites,None,Medium,5024,13382,3329,6094,Youth,Middle,16516
Delhi,Jaipur,Bus,Hostel,Budget Meals,Cultural Events,Leisure,6,Monsoon,September,2,1367,Adventure Sports,None,Low,1645,16393,934,7163,Youth,Low,32064
Kolkata,Kolkata,Car,Homestay,Vegetarian,Relaxation,Work,5,Monsoon,January,1,1654,Wildlife,Airline Miles,Medium,9166,9159,4724,3676,Adult,High,9228
Delhi,Delhi,Flight,Resort,Local Cuisine,Trekking,Work,13,Autumn,October,6,1258,Religious Sites,Travel Discounts,High,7033,18312,4029,4004,Youth,Middle,9294
Mumbai,Mumbai,Flight,Resort,Vegetarian,Cultural Events,Pilgrimage,13,Monsoon,June,3,223,Beaches,Hotel Membership,Low,1381,3772,4348,6681,Adult,Middle,30551
Mumbai,Mumbai,Bus,Hotel,Non-Vegetarian,Sightseeing,Pilgrimage,6,Summer,May,3,599,Shopping,None,High,4352,8082,2211,6317,Youth,High,41443
Mumbai,Mumbai,Bus,Hotel,Budget Meals,Trekking,Work,15,Winter,December,5,1912,Wildlife,Airline Miles,High,3207,14270,3146,4198,Youth,Middle,11696
Mumbai,Goa,Flight,Hotel,Budget Meals,Shopping,Adventure,4,Autumn,September,6,2198,Beaches,Hotel Membership,High,10006,5191,4791,714,Youth,High,35258
Kolkata,Kolkata,Bus,Resort,Budget Meals,Shopping,Pilgrimage,12,Autumn,January,5,2835,Adventure Sports,None,Low,2161,5036,4808,9921,Adult,Low,12844
Delhi,Jaipur,Bus,Hostel,Non-Vegetarian,Cultural Events,Adventure,8,Summer,July,2,748,Wildlife,Travel Discounts,Medium,6532,14705,1128,2011,Adult,Low,6728
Mumbai,Mumbai,Train,Resort,Vegetarian,Shopping,Leisure,15,Autumn,July,4,1833,Historical Sites,None,High,9523,7657,3459,6899,Adult,High,27117
Bangalore,Kerala,Flight,Resort,Non-Vegetarian,Cultural Events,Leisure,8,Summer,April,3,1444,Religious Sites,Travel Discounts,Medium,7954,19395,1668,3954,Senior,Middle,18949
Mumbai,Mumbai,Flight,Hotel,Non-Vegetarian,Shopping,Leisure,15,Summer,June,3,1022,Religious Sites,None,High,11928,13142,4198,795,Senior,Low,39590
Delhi,Jaipur,Bus,Hotel,Local Cuisine,Shopping,Work,3,Summer,July,5,2942,Shopping,Airline Miles,Medium,10490,13586,2533,2907,Adult,High,34694
Bangalore,Kerala,Bus,Hotel,Local Cuisine,Relaxation,Work,5,Summer,April,3,628,Wildlife,Travel Discounts,Medium,11489,4857,4245,7343,Youth,High,17476
Kolkata,Varanasi,Train,Hostel,Local Cuisine,Relaxation,Work,11,Monsoon,November,6,2517,Wildlife,Hotel Membership,Low,2930,5668,4056,6092,Youth,High,44762
Delhi,Rajasthan,Car,Homestay,Non-Vegetarian,Cultural Events,Pilgrimage,4,Autumn,June,4,2631,Historical Sites,Airline Miles,Low,6139,19727,3259,2469,Adult,Low,41085
Mumbai,Mumbai,Car,Hostel,Non-Vegetarian,Relaxation,Pilgrimage,11,Winter,January,2,2009,Historical Sites,Travel Discounts,High,2913,13687,4627,3810,Youth,Low,22819
Delhi,Delhi,Bus,Hotel,Vegetarian,Sightseeing,Adventure,11,Monsoon,February,3,2629,Historical Sites,Travel Discounts,Medium,11272,5707,912,6535,Youth,High,8669
Mumbai,Mumbai,Bus,Hotel,Budget Meals,Cultural Events,Adventure,12,Summer,January,6,1889,Religious Sites,Hotel Membership,Low,14085,4016,4531,8268,Adult,Low,23448
Delhi,Rajasthan,Flight,Homestay,Vegetarian,Cultural Events,Pilgrimage,4,Summer,August,2,415,Adventure Sports,Travel Discounts,Medium,9924,3593,4303,674,Youth,Low,17797
Bangalore,Kerala,Flight,Hostel,Vegetarian,Cultural Events,Leisure,6,Monsoon,March,4,2080,Historical Sites,Hotel Membership,Medium,10708,2611,1881,9983,Adult,Low,32649
Delhi,Rajasthan,Car,Homestay,Vegetarian,Sightseeing,Adventure,7,Summer,August,2,2843,Religious Sites,Travel Discounts,Low,3790,7116,1115,729,Youth,High,23662
Bangalore,Kerala,Car,Hostel,Vegetarian,Trekking,Pilgrimage,11,Monsoon,December,4,2863,Religious Sites,Hotel Membership,High,6545,8500,4183,875,Adult,High,32516
Bangalore,Bangalore,Car,Resort,Vegetarian,Cultural Events,Adventure,14,Autumn,April,4,2172,Adventure Sports,None,High,3956,8337,3361,5872,Senior,Low,9003
Bangalore,Kerala,Car,Homestay,Vegetarian,Shopping,Adventure,4,Summer,December,1,2191,Wildlife,Travel Discounts,High,10134,18506,2699,4353,Adult,High,22361
Bangalore,Bangalore,Bus,Hotel,Non-Vegetarian,Trekking,Leisure,8,Summer,November,5,1824,Shopping,None,High,5645,12363,4201,9440,Senior,Middle,7222
Mumbai,Goa,Car,Hotel,Local Cuisine,Trekking,Work,11,Autumn,August,2,2258,Wildlife,None,Low,11873,16119,4554,9219,Adult,Middle,31322
Delhi,Jaipur,Train,Resort,Budget Meals,Trekking,Work,8,Summer,August,6,206,Religious Sites,Hotel Membership,Low,5412,1979,3452,6892,Adult,High,38824
Bangalore,Bangalore,Bus,Resort,Vegetarian,Sightseeing,Leisure,5,Summer,December,3,1584,Beaches,Airline Miles,Medium,14540,10639,2021,4540,Senior,Low,23323
Delhi,Jaipur,Bus,Resort,Non-Vegetarian,Trekking,Leisure,8,Monsoon,February,6,2837,Wildlife,Travel Discounts,Low,3815,14226,2315,4141,Adult,High,31535
Bangalore,Bangalore,Bus,Hotel,Non-Vegetarian,Relaxation,Leisure,11,Monsoon,January,6,2055,Wildlife,Travel Discounts,Medium,14514,9575,2336,624,Youth,Middle,30638
Bangalore,Bangalore,Flight,Hotel,Vegetarian,Cultural Events,Adventure,5,Monsoon,October,2,1152,Adventure Sports,Hotel Membership,Medium,2761,11707,3185,3814,Youth,Low,8072
Delhi,Rajasthan,Bus,Hostel,Budget Meals,Cultural Events,Leisure,6,Monsoon,January,1,2592,Shopping,None,High,8481,13547,4835,2499,Senior,High,32934
Delhi,Jaipur,Car,Hotel,Non-Vegetarian,Cultural Events,Leisure,7,Summer,September,5,2334,Beaches,Travel Discounts,Medium,13663,17595,3903,7869,Senior,Middle,28657
Mumbai,Mumbai,Bus,Hostel,Non-Vegetarian,Cultural Events,Pilgrimage,11,Monsoon,September,6,1440,Adventure Sports,Hotel Membership,High,2359,15028,3222,916,Youth,Low,27104
Mumbai,Goa,Flight,Hostel,Local Cuisine,Shopping,Work,12,Winter,April,2,2682,Adventure Sports,Hotel Membership,High,9548,7687,3987,9602,Senior,Low,47424
Bangalore,Kerala,Bus,Homestay,Local Cuisine,Relaxation,Adventure,9,Autumn,March,4,2877,Religious Sites,Travel Discounts,Low,1104,5251,3500,8942,Senior,High,43432
Delhi,Rajasthan,Bus,Homestay,Non-Vegetarian,Sightseeing,Work,15,Winter,December,2,829,Beaches,Hotel Membership,High,1966,13358,566,1972,Senior,Low,16329
Kolkata,Kolkata,Bus,Resort,Non-Vegetarian,Trekking,Adventure,8,Summer,August,4,2174,Beaches,Hotel Membership,Low,6950,19416,2676,8427,Youth,Middle,6587
Delhi,Rajasthan,Flight,Homestay,Non-Vegetarian,Relaxation,Leisure,11,Autumn,July,6,2318,Religious Sites,None,Medium,3876,3074,4245,4023,Youth,Middle,48894
Delhi,Delhi,Train,Hotel,Local Cuisine,Trekking,Work,5,Summer,December,4,751,Adventure Sports,Airline Miles,Low,3357,8748,1864,5826,Senior,Middle,42791
Delhi,Delhi,Train,Homestay,Local Cuisine,Shopping,Adventure,4,Autumn,December,6,2069,Religious Sites,Hotel Membership,Low,14283,17322,1454,3456,Adult,High,37053
Bangalore,Bangalore,Car,Hotel,Non-Vegetarian,Relaxation,Work,10,Winter,June,2,2780,Shopping,Airline Miles,Low,9502,8963,1570,2945,Youth,High,9579
Bangalore,Kerala,Train,Homestay,Budget Meals,Sightseeing,Work,5,Monsoon,September,4,2534,Adventure Sports,Hotel Membership,High,11443,18530,3730,1497,Youth,Low,7467
Mumbai,Goa,Bus,Homestay,Non-Vegetarian,Cultural Events,Leisure,12,Winter,August,1,1470,Shopping,Airline Miles,Low,13276,12411,696,2015,Adult,Low,42607
Kolkata,Varanasi,Bus,Hostel,Vegetarian,Relaxation,Work,3,Autumn,February,2,2863,Wildlife,Airline Miles,High,2893,7791,1789,2434,Senior,High,42784
Kolkata,Varanasi,Car,Resort,Non-Vegetarian,Sightseeing,Leisure,12,Winter,February,4,1699,Beaches,Travel Discounts,Low,6618,18339,4085,4574,Youth,High,49134
Delhi,Delhi,Flight,Homestay,Non-Vegetarian,Cultural Events,Adventure,8,Winter,November,2,1915,Beaches,Hotel Membership,Low,12190,13936,4799,2803,Adult,Low,18657
Bangalore,Bangalore,Bus,Hostel,Non-Vegetarian,Relaxation,Pilgrimage,9,Summer,December,3,1483,Shopping,Airline Miles,Low,9135,1559,1296,4249,Adult,Low,13441
Delhi,Rajasthan,Bus,Hostel,Budget Meals,Shopping,Pilgrimage,11,Monsoon,March,2,160,Shopping,None,High,6928,6306,4426,4281,Senior,Middle,29031
Mumbai,Mumbai,Flight,Hostel,Vegetarian,Cultural Events,Leisure,9,Winter,July,2,582,Wildlife,Hotel Membership,Low,11350,1248,2317,5176,Youth,Low,32931
Mumbai,Goa,Flight,Hotel,Local Cuisine,Cultural Events,Adventure,12,Monsoon,July,3,2601,Religious Sites,Travel Discounts,High,5116,16714,1371,2742,Adult,Middle,46932
Kolkata,Kolkata,Flight,Hotel,Vegetarian,Relaxation,Leisure,15,Winter,January,2,159,Historical Sites,Travel Discounts,Medium,9458,2396,4959,715,Senior,Low,12766
Delhi,Shimla,Car,Hotel,Non-Vegetarian,Relaxation,Leisure,14,Winter,August,1,850,Religious Sites,Airline Miles,High,1783,10428,3458,9194,Adult,Middle,12089
Mumbai,Mumbai,Train,Resort,Non-Vegetarian,Sightseeing,Work,3,Autumn,March,3,2227,Religious Sites,Travel Discounts,High,2974,19391,544,5968,Youth,High,6142
Delhi,Delhi,Car,Hostel,Budget Meals,Shopping,Adventure,9,Winter,June,5,312,Shopping,Hotel Membership,Medium,7972,4282,3044,5912,Senior,High,33626
Mumbai,Goa,Flight,Hotel,Vegetarian,Cultural Events,Adventure,13,Monsoon,January,1,2733,Wildlife,None,High,11939,3155,3094,3320,Youth,Middle,35628
